,O3,PM25,CO,PM10
7/1/2021 0:00,11.39227273,64.025,574.3663636,73.23772727
7/1/2021 1:00,13.07590909,60.85772727,501.5695455,71.38363636
7/1/2021 2:00,11.60142857,70.32,501.0557143,78.83428571
7/1/2021 3:00,12.68227273,56.69272727,415.6854545,68.97954545
7/1/2021 4:00,12.16565217,54.09434783,394.16,66.58565217
7/1/2021 5:00,9.75952381,60.21809524,429.1652381,71.21857143
7/1/2021 6:00,10.46318182,58.15181818,452.1404545,69.605
7/1/2021 7:00,10.38545455,53.38818182,479.2322727,65.96545455
7/1/2021 8:00,9.356818182,54.00045455,542.8195455,65.33818182
7/1/2021 9:00,17.79,46.41714286,388.1766667,56.74857143
7/1/2021 10:00,30.21666667,45.96714286,444.9495238,56.29571429
7/1/2021 11:00,35.92727273,38.39181818,376.2863636,45.15818182
7/1/2021 12:00,36.569,37.6175,390.552,44.468
7/1/2021 13:00,41.55909091,37.47454545,420.7945455,44.17090909
7/1/2021 14:00,38.175,34.95545455,429.76,40.00136364
7/1/2021 15:00,38.03318182,33.54545455,427.6140909,37.80681818
7/1/2021 16:00,35.50904762,31.77380952,435.8585714,34.91666667
7/1/2021 17:00,31.43608696,32.12869565,488.17,34.55347826
7/1/2021 18:00,30.35666667,38.82952381,567.7895238,46.1047619
7/1/2021 19:00,24.64,43.25571429,608.72,52.21285714
7/1/2021 20:00,17.55545455,63.42090909,1285.047273,72.96181818
7/1/2021 21:00,13.69818182,76.03181818,1257.258636,82.12
7/1/2021 22:00,13.81545455,75.86772727,1032.900455,81.67772727
7/1/2021 23:00,11.82318182,76.67772727,994.0895455,81.31545455
7/2/2021 0:00,9.902272727,75.695,914.1040909,80.80136364
7/2/2021 1:00,11.66181818,66.94863636,716.3809091,75.29772727
7/2/2021 2:00,12.22,63.43409091,570.7590909,73.99954545
7/2/2021 3:00,12.18954545,60.85272727,531.5804545,71.39545455
7/2/2021 4:00,12.48909091,57.74454545,491.9627273,69.55181818
7/2/2021 5:00,10.31272727,62.57681818,522.0968182,72.76227273
7/2/2021 6:00,9.028181818,65.92454545,559.2445455,74.55818182
7/2/2021 7:00,9.407272727,65.78090909,600.0236364,74.47136364
7/2/2021 8:00,9.801363636,69.855,677.8913636,76.82272727
7/2/2021 9:00,15.15666667,47.72666667,389.7604762,58.30666667
7/2/2021 10:00,30.94227273,41.62681818,365.6645455,49.65590909
7/2/2021 11:00,34.36,42.12047619,409.2761905,50.55238095
7/2/2021 12:00,38.58956522,36.1726087,409.0021739,41.95826087
7/2/2021 13:00,39.23571429,34.25190476,398.81,38.75904762
7/2/2021 14:00,40.41045455,33.90045455,427.9672727,38.49090909
7/2/2021 15:00,40.62772727,33.96863636,416.1368182,38.45454545
7/2/2021 16:00,39.64809524,37.03571429,464.3752381,43.56238095
7/2/2021 17:00,37.02,43.855,561.545,51.22409091
7/2/2021 18:00,31.77727273,39.27863636,597.7740909,46.77090909
7/2/2021 19:00,27.6347619,42.26571429,595.4585714,50.6152381
7/2/2021 20:00,27.29090909,44.07681818,543.9590909,53.16772727
7/2/2021 21:00,26.02666667,46.20952381,525.4280952,56.26857143
7/2/2021 22:00,23.25391304,48.34913043,533.3834783,59.53391304
7/2/2021 23:00,21.98761905,45.25952381,477.6609524,54.80571429
7/3/2021 0:00,18.76272727,53.91409091,570.7677273,64.04909091
7/3/2021 1:00,15.23727273,60.22818182,642.9090909,70.57272727
7/3/2021 2:00,13.05956522,59.30391304,602.7713043,70.38130435
7/3/2021 3:00,14.05952381,58.59761905,500.7580952,69.59238095
7/3/2021 4:00,13.29681818,53.43727273,453.9304545,66.01318182
7/3/2021 5:00,13.34454545,53.49409091,442.115,66.11954545
7/3/2021 6:00,11.40227273,57.39727273,475.1604545,68.97772727
7/3/2021 7:00,8.906666667,56.65285714,506.9033333,68.50809524
7/3/2021 8:00,11.53909091,49.23636364,411.0590909,60.69545455
7/3/2021 9:00,23.93565217,40.10347826,297.1230435,47.44391304
7/3/2021 10:00,33.0705,32.2415,256.4465,35.4995
7/3/2021 11:00,37.63045455,35.16727273,290.2704545,40.47590909
7/3/2021 12:00,42.62272727,36.26,379.1377273,42.07318182
7/3/2021 13:00,41.90571429,35.10809524,342.0809524,40.32571429
7/3/2021 14:00,43.77,33.95904762,374.54,38.30857143
7/3/2021 15:00,40.7,33.64272727,369.2545455,37.80318182
7/3/2021 16:00,39.30826087,39.47608696,455.2330435,46.78826087
7/3/2021 17:00,33.4055,37.398,502.647,43.9635
7/3/2021 18:00,28.79904762,37.81285714,549.1247619,44.71619048
7/3/2021 19:00,24.23727273,44.06363636,728.8718182,53.05363636
7/3/2021 20:00,17.27857143,62.80857143,1233.940952,72.22
7/3/2021 21:00,17.2352381,72.18857143,960.937619,78.38619048
7/3/2021 22:00,13.82782609,72.89434783,1031.176957,78.41130435
7/3/2021 23:00,14.55136364,70.80727273,762.4777273,77.17227273
7/4/2021 0:00,13.07857143,67.93333333,735.9642857,75.64380952
7/4/2021 1:00,13.31954545,68.53772727,665.8236364,75.99590909
7/4/2021 2:00,13.02652174,69.62347826,572.9,76.76913043
7/4/2021 3:00,12.74666667,67.4552381,539.9528571,75.49
7/4/2021 4:00,12.73545455,63.47454545,500.0090909,73.04454545
7/4/2021 5:00,12.21954545,68.10636364,520.2627273,76.12045455
7/4/2021 6:00,10.51863636,67.95772727,518.4686364,75.72681818
7/4/2021 7:00,8.750952381,71.98,595.9180952,77.97
7/4/2021 8:00,13.50363636,67.28272727,534.4613636,75.19045455
7/4/2021 9:00,27.39227273,46.10545455,350.5090909,54.74363636
7/4/2021 10:00,32.39380952,46.22095238,399.8638095,56.16666667
7/4/2021 11:00,31.91454545,38.82954545,366.1631818,45.67590909
7/4/2021 12:00,34.24454545,34.44045455,348.8481818,39.21545455
7/4/2021 13:00,40.15565217,35.88608696,406.7143478,41.72086957
7/4/2021 14:00,39.94,36.273,431.3855,42.2055
7/4/2021 15:00,39.27727273,35.83772727,457.8713636,41.57318182
7/4/2021 16:00,37.43727273,34.87590909,455.35,39.87136364
7/4/2021 17:00,34.04238095,33.56952381,480.0704762,37.66571429
7/4/2021 18:00,28.37954545,36.25545455,545.2013636,42.02227273
7/4/2021 19:00,21.14636364,51.66181818,893.1113636,61.08
7/4/2021 20:00,16.77909091,68.77318182,1245.109091,76.66272727
7/4/2021 21:00,15.44684211,69.51105263,1167.33,76.28368421
7/4/2021 22:00,14.81590909,76.26590909,1033.23,81.93272727
7/4/2021 23:00,14.74772727,71.50772727,749.7090909,77.43136364
