,O3,PM25,CO,PM10
7/1/2021 0:00,22.18454545,43.435,215.7090909,52.30409091
7/1/2021 1:00,21.7373913,48.29086957,253.306087,58.63956522
7/1/2021 2:00,21.16727273,44.78090909,242.4986364,54.52909091
7/1/2021 3:00,21.62347826,42.48608696,225.8252174,51.21217391
7/1/2021 4:00,20.85478261,46.46869565,220.5873913,54.53608696
7/1/2021 5:00,21.13347826,52.96695652,228.5608696,62.95826087
7/1/2021 6:00,20.86181818,62.60818182,309.9836364,71.74545455
7/1/2021 7:00,19.41869565,43.63869565,250.4308696,53.15304348
7/1/2021 8:00,20.08090909,43.40727273,216.8013636,52.54272727
7/1/2021 9:00,22.37652174,46.2573913,199.4082609,56.79304348
7/1/2021 10:00,26.31681818,46.48590909,218.6263636,56.88909091
7/1/2021 11:00,28.94217391,44.89956522,217.1778261,54.74826087
7/1/2021 12:00,30.5626087,42.96391304,160.8573913,51.75304348
7/1/2021 13:00,31.01863636,38.72818182,135.1086364,46.44136364
7/1/2021 14:00,31.62304348,43.54782609,82.75956522,53.18565217
7/1/2021 15:00,33.74363636,43.66681818,79.08272727,53.425
7/1/2021 16:00,33.47652174,39.4326087,66.58913043,47.53652174
7/1/2021 17:00,31.0373913,37.79,71.06826087,44.90086957
7/1/2021 18:00,27.83045455,41.66590909,182.9218182,50.28045455
7/1/2021 19:00,25.04608696,39.52391304,208.1156522,47.32130435
7/1/2021 20:00,24.20347826,36.02782609,204.6752174,42.48652174
7/1/2021 21:00,24.49227273,43.28181818,260.3104545,52.55863636
7/1/2021 22:00,24.04565217,58.53695652,363.3047826,69.2873913
7/1/2021 23:00,21.78954545,61.94363636,357.06,71.65090909
7/2/2021 0:00,23.31545455,65.02,360.6695455,73.55727273
7/2/2021 1:00,22.73869565,68.60217391,366.7543478,75.64913043
7/2/2021 2:00,21.95227273,62.90545455,337.545,72.21272727
7/2/2021 3:00,23.24227273,52.06045455,312.2159091,63.755
7/2/2021 4:00,23.89043478,49.87869565,299.8356522,61.49782609
7/2/2021 5:00,22.90272727,48.16,292.8513636,59.15136364
7/2/2021 6:00,22.59913043,50.07173913,305.6226087,62.04913043
7/2/2021 7:00,21.92090909,55.38772727,329.2959091,67.38454545
7/2/2021 8:00,21.10130435,49.06173913,290.9013043,60.73391304
7/2/2021 9:00,23.77272727,46.16772727,246.0813636,56.16454545
7/2/2021 10:00,26.32130435,49.28652174,299.483913,60.74913043
7/2/2021 11:00,27.92136364,45.05181818,258.6359091,54.66090909
7/2/2021 12:00,29.53173913,42.36478261,196.9617391,50.75869565
7/2/2021 13:00,32.03090909,41.15909091,92.76227273,49.13090909
7/2/2021 14:00,33.59521739,41.53391304,100.5995652,49.9173913
7/2/2021 15:00,33.595,44.11272727,39.63522727,52.75954545
7/2/2021 16:00,33.4326087,44.24782609,71.17086957,53.52869565
7/2/2021 17:00,32.65565217,44.37652174,164.7034783,53.87782609
7/2/2021 18:00,28.68818182,58.01136364,375.6209091,70.03181818
7/2/2021 19:00,27.05363636,50.51954545,354.7786364,62.14454545
7/2/2021 20:00,25.86347826,53.34347826,397.0226087,65.05086957
