,O3,PM25,CO,PM10
7/1/2021 0:00,26.39090909,15.2,,26.39090909
7/1/2021 1:00,39.06666667,22.5,,39.06666667
7/1/2021 2:00,28.7,16.50833333,,28.7
7/1/2021 3:00,31.99166667,18.40833333,,31.99166667
7/1/2021 4:00,26.86666667,15.45,,26.86666667
7/1/2021 5:00,17.31666667,9.908333333,,17.31666667
7/1/2021 6:00,22.05833333,12.66666667,,22.05833333
7/1/2021 7:00,26.05,14.85833333,,26.05
7/1/2021 8:00,43.95,25.26666667,,43.95
7/1/2021 9:00,20.98333333,12.06666667,,20.98333333
7/1/2021 10:00,40.2,23.19166667,,40.2
7/1/2021 11:00,23.58333333,13.56666667,,23.58333333
7/1/2021 12:00,25.2,14.44166667,,25.2
7/1/2021 13:00,34.65833333,19.9,,34.65833333
7/1/2021 14:00,43.73333333,25.2,,43.73333333
7/1/2021 15:00,14.34166667,8.15,,14.34166667
7/1/2021 16:00,35.50833333,20.39166667,,35.50833333
7/1/2021 17:00,31.45833333,18.06666667,,31.45833333
7/1/2021 18:00,22.425,12.875,,22.425
7/1/2021 19:00,21.21666667,12.2,,21.21666667
7/1/2021 20:00,26.7,15.4,,26.7
7/1/2021 21:00,26.7,15.4,,26.7
7/1/2021 22:00,26.7,15.4,,26.7
7/1/2021 23:00,26.7,15.4,,26.7
7/2/2021 0:00,26.7,15.4,,26.7
7/2/2021 1:00,26.7,15.4,,26.7
7/2/2021 2:00,26.7,15.4,,26.7
7/2/2021 3:00,28.94166667,15.40833333,,28.94166667
7/2/2021 4:00,26.7,15.4,,26.7
7/2/2021 5:00,26.7,15.4,,26.7
7/2/2021 6:00,26.7,15.4,,26.7
7/2/2021 7:00,26.7,15.4,,26.7
7/2/2021 8:00,26.7,15.4,,26.7
7/2/2021 9:00,26.7,15.4,,26.7
7/2/2021 10:00,26.7,15.4,,26.7
7/2/2021 11:00,26.7,15.4,,26.7
7/2/2021 12:00,26.7,15.4,,26.7
7/2/2021 13:00,26.7,15.4,,26.7
7/2/2021 14:00,26.7,15.4,,26.7
7/2/2021 15:00,26.7,15.4,,26.7
7/2/2021 16:00,26.7,15.4,,26.7
7/2/2021 17:00,26.7,15.4,,26.7
7/2/2021 18:00,26.7,15.4,,26.7
7/2/2021 19:00,26.7,15.4,,26.7
7/2/2021 20:00,26.7,15.4,,26.7
7/2/2021 21:00,26.7,15.4,,26.7
7/2/2021 22:00,26.7,15.4,,26.7
7/2/2021 23:00,26.7,15.4,,26.7
7/3/2021 0:00,26.7,15.4,,26.7
7/3/2021 1:00,26.7,15.4,,26.7
7/3/2021 2:00,26.7,15.4,,26.7
7/3/2021 3:00,26.7,15.4,,26.7
7/3/2021 4:00,26.7,15.4,,26.7
7/3/2021 5:00,26.7,15.4,,26.7
7/3/2021 6:00,26.7,15.4,,26.7
7/3/2021 7:00,26.7,15.4,,26.7
7/3/2021 8:00,26.7,15.4,,26.7
7/3/2021 9:00,26.7,15.4,,26.7
7/3/2021 10:00,26.7,15.4,,26.7
7/3/2021 11:00,26.7,15.4,,26.7
7/3/2021 12:00,26.7,15.4,,26.7
7/3/2021 13:00,26.7,15.4,,26.7
7/3/2021 14:00,26.7,15.4,,26.7
7/3/2021 15:00,26.7,15.4,,26.7
7/3/2021 16:00,26.7,15.4,,26.7
7/3/2021 17:00,26.7,15.4,,26.7
7/3/2021 18:00,26.7,15.4,,26.7
7/3/2021 19:00,26.7,15.4,,26.7
7/3/2021 20:00,26.7,15.4,,26.7
7/3/2021 21:00,26.7,15.40833333,,26.7
7/3/2021 22:00,26.7,15.4,,26.7
7/3/2021 23:00,26.7,15.4,,26.7
7/4/2021 0:00,26.7,15.4,,26.7
7/4/2021 1:00,26.7,15.4,,26.7
7/4/2021 2:00,26.7,15.4,,26.7
7/4/2021 3:00,26.7,15.4,,26.7
7/4/2021 4:00,26.7,15.4,,26.7
7/4/2021 5:00,26.7,15.4,,26.7
7/4/2021 6:00,26.7,15.4,,26.7
7/4/2021 7:00,26.7,15.4,,26.7
7/4/2021 8:00,26.7,15.4,,26.7
7/4/2021 9:00,26.7,15.4,,26.7
7/4/2021 10:00,26.7,15.4,,26.7
7/4/2021 11:00,26.7,15.4,,26.7
7/4/2021 12:00,26.7,15.4,,26.7
7/4/2021 13:00,26.7,15.4,,26.7
7/4/2021 14:00,26.7,15.4,,26.7
7/4/2021 15:00,26.7,15.4,,26.7
7/4/2021 16:00,26.7,15.4,,26.7
7/4/2021 17:00,26.7,15.4,,26.7
7/4/2021 18:00,26.7,15.4,,26.7
7/4/2021 19:00,26.7,15.4,,26.7
7/4/2021 20:00,26.7,15.4,,26.7
7/4/2021 21:00,26.7,15.4,,26.7
7/4/2021 22:00,26.7,15.4,,26.7
