,O3,PM25,PM10,CO
7/1/2021 0:00,14.34218254,68.90678571,77.86688492,929.2319048
7/1/2021 1:00,13.9696627,68.70549603,77.34611111,832.8471825
7/1/2021 2:00,16.72494048,81.78382937,92.02513889,596.6445833
7/1/2021 3:00,15.95952381,82.62742063,91.23628968,557.6105556
7/1/2021 4:00,12.76661111,72.64603571,81.75219444,567.1037579
7/1/2021 5:00,12.83781746,73.10049603,81.12083333,570.9247619
7/1/2021 6:00,10.29761905,68.14107143,77.34178571,598.3576587
7/1/2021 7:00,9.623035714,78.77202381,86.76406746,777.4180754
7/1/2021 8:00,15.45468254,62.76664683,73.60859127,713.8484722
7/1/2021 9:00,25.77327381,54.86607143,67.90757937,594.0883135
7/1/2021 10:00,35.95623016,50.21940476,62.70946429,570.8273016
7/1/2021 11:00,36.9102381,39.70962302,47.7956746,476.9051587
7/1/2021 12:00,41.1818254,41.20474206,50.09706349,525.642123
7/1/2021 13:00,46.24551587,38.9652381,46.66585317,519.7919444
7/1/2021 14:00,48.18452381,38.33315476,46.03761905,514.141746
7/1/2021 15:00,50.82857143,35.67964286,42.08960317,527.9570238
7/1/2021 16:00,47.17422619,31.92821429,36.26267857,547.5820833
7/1/2021 17:00,42.38702381,35.13876984,41.28400794,567.3298016
7/1/2021 18:00,34.87571429,44.16214286,54.53162698,770.6642659
7/1/2021 19:00,30.49073413,46.87757937,58.53855159,740.0137698
7/1/2021 20:00,26.86554563,47.84188492,59.71839286,771.5752579
7/1/2021 21:00,16.88454365,62.93412698,73.48059524,1352.495238
7/1/2021 22:00,15.84291667,76.43700397,83.25686508,1636.058214
7/1/2021 23:00,14.18867063,70.14847222,77.94488095,1343.62881
7/2/2021 0:00,13.37640873,68.26515873,76.60843254,1304.690675
7/2/2021 1:00,12.39599206,73.40261905,79.94051587,1239.141806
7/2/2021 2:00,12.84204365,72.32210317,79.99309524,945.2793849
7/2/2021 3:00,15.28960317,62.91162698,73.55811508,728.4123016
7/2/2021 4:00,13.20928571,71.2421627,78.70839286,718.6439683
7/2/2021 5:00,14.30728175,64.88174603,74.82160714,662.5465873
7/2/2021 6:00,12.05934524,65.32696429,74.91027778,699.6346825
7/2/2021 7:00,8.614900794,70.53890873,78.47003968,917.3461111
7/2/2021 8:00,13.97319444,74.31650794,81.5069246,906.7782738
7/2/2021 9:00,25.54529762,52.33440476,63.93353175,574.4818452
7/2/2021 10:00,33.54670635,46.42517857,57.15617063,494.6437698
7/2/2021 11:00,39.24652778,43.97285714,53.63248016,519.539623
7/2/2021 12:00,42.14882937,38.34244048,45.96793651,510.762004
7/2/2021 13:00,47.05325397,36.29049603,43.00117063,470.2265873
7/2/2021 14:00,52.31123016,36.35009921,42.85714286,494.0917262
7/2/2021 15:00,56.37613095,36.66660714,43.27621032,446.453373
7/2/2021 16:00,56.90007937,40.4968254,48.92857143,527.7123611
7/2/2021 17:00,46.72511905,41.10353175,49.68376984,715.7840675
7/2/2021 18:00,35.85769841,42.76922619,52.28186508,833.7475595
7/2/2021 19:00,31.75985119,45.1827381,55.57756944,826.3418552
7/2/2021 20:00,29.69291468,48.49490873,60.58905556,842.4829603
7/2/2021 21:00,28.83507937,50.15988095,62.79228175,724.2990278
7/2/2021 22:00,27.19894841,49.57672619,61.80734127,647.6997817
7/2/2021 23:00,26.43224206,44.7725,55.20511905,567.0514286
7/3/2021 0:00,22.81321032,46.20269048,57.07977778,561.4113016
7/3/2021 1:00,23.89670635,46.46795635,57.47194444,574.810754
7/3/2021 2:00,17.87767857,59.91589286,71.01795635,743.9695833
7/3/2021 3:00,15.70906746,71.98730159,79.85789683,712.102123
7/3/2021 4:00,17.06553571,63.74218254,74.04065476,653.0875595
7/3/2021 5:00,18.21001984,60.20771825,71.66553571,605.8914881
