,O3,PM25,CO,PM10
7/1/2021 0:00,26.01727273,35.44909091,242.2718182,40.91181818
7/1/2021 1:00,24.81304348,45.21826087,297.2804348,54.6673913
7/1/2021 2:00,25.74409091,47.44090909,323.455,58.02409091
7/1/2021 3:00,24.19772727,45.39272727,298.5954545,55.14272727
7/1/2021 4:00,24.58181818,41.33454545,260.5468182,49.46454545
7/1/2021 5:00,25.53045455,45.495,270.7363636,55.38863636
7/1/2021 6:00,24.53608696,46.10565217,287.646087,56.38652174
7/1/2021 7:00,26.01454545,43.78863636,248.1590909,52.79954545
7/1/2021 8:00,24.56136364,45.45681818,212.9854545,55.04454545
7/1/2021 9:00,28.47090909,46.60681818,151.6154545,57.02090909
7/1/2021 10:00,32.235,41.52681818,50.3715625,49.56272727
7/1/2021 11:00,36.25608696,36.94,5.958151398,43.22913043
7/1/2021 12:00,39.06681818,36.74363636,6.742642857,43.16590909
7/1/2021 13:00,40.09590909,36.19454545,6.6515,42.38636364
7/1/2021 14:00,40.59,48.17909091,19.43713636,55.18954545
7/1/2021 15:00,38.44409091,35.84227273,24.02041322,41.42090909
7/1/2021 16:00,38.50227273,38.61409091,18.44595041,43.95772727
7/1/2021 17:00,36.31,33.52043478,138.556087,38.3026087
7/1/2021 18:00,35.78454545,38.715,301.42,46.34363636
7/1/2021 19:00,33.34818182,35.86727273,322.9404545,41.92272727
7/1/2021 20:00,33.38636364,33.33681818,283.1031818,37.96909091
7/1/2021 21:00,32.55136364,36.53227273,344.1968182,42.85227273
7/1/2021 22:00,30.89695652,42.95652174,397.8495652,52.01869565
7/1/2021 23:00,27.01863636,46.71045455,436.6704545,57.23909091
7/2/2021 0:00,27.69136364,48.05636364,378.5118182,59.25272727
7/2/2021 1:00,27.98,52.43363636,365.8790909,64.46954545
7/2/2021 2:00,27.21409091,50.47363636,335.3109091,62.08545455
7/2/2021 3:00,28.03045455,47.99636364,304.7354545,58.64636364
7/2/2021 4:00,27.31181818,49.02363636,302.9527273,60.20818182
7/2/2021 5:00,26.10043478,49.55478261,307.6717391,60.84478261
7/2/2021 6:00,25.95863636,48.53772727,307.6077273,59.55181818
7/2/2021 7:00,26.18545455,47.88136364,294.8318182,58.45045455
7/2/2021 8:00,24.87,49.13545455,296.2309091,60.18318182
7/2/2021 9:00,30.60681818,41.845,142.6490909,49.99590909
7/2/2021 10:00,35.86521739,47.56826087,178.2586957,56.87043478
7/2/2021 11:00,38.175,53.62954545,189.2077273,63.38
7/2/2021 12:00,35.97636364,39.83727273,106.3536364,47.4
7/2/2021 13:00,38.73,37.36863636,9.799339623,43.86454545
7/2/2021 14:00,41.53681818,35.36454545,12.56650943,40.365
7/2/2021 15:00,43.41863636,34.77045455,29.72551458,39.67227273
7/2/2021 16:00,42.21304348,40.34043478,68.39130435,47.74608696
7/2/2021 17:00,40.54863636,43.13590909,194.6845455,49.89454545
7/2/2021 18:00,37.48409091,40.68545455,357.1154545,48.52818182
7/2/2021 19:00,35.41409091,41.85409091,377.7972727,49.74590909
7/2/2021 20:00,34.57565217,43.23869565,422.363913,51.6226087
7/2/2021 21:00,32.56818182,42.21318182,421.5790909,50.43863636
7/2/2021 22:00,31.07272727,42.04090909,389.6377273,50.13954545
7/2/2021 23:00,29.19954545,45.27727273,386.0672727,54.68909091
7/3/2021 0:00,28.535,45.30318182,342.725,54.69090909
7/3/2021 1:00,28.10181818,47.405,337.3981818,57.71909091
7/3/2021 2:00,26.35695652,47.17565217,327.8743478,57.39391304
7/3/2021 3:00,25.79954545,45.30545455,318.255,54.68863636
7/3/2021 4:00,25.22363636,44.37863636,305.89,53.57454545
7/3/2021 5:00,25.79818182,46.10318182,321.5209091,55.77545455
7/3/2021 6:00,25.78478261,43.26826087,307.116087,51.84347826
7/3/2021 7:00,24.46,42.54545455,234.8813636,50.57545455
7/3/2021 8:00,28.36272727,41.79136364,136.4254545,49.82181818
7/3/2021 9:00,33.23363636,39.39181818,74.77793561,46.27909091
7/3/2021 10:00,35.83363636,37.89909091,11.885625,44.095
7/3/2021 11:00,38.14913043,36.51304348,13.195,41.60304348
7/3/2021 12:00,39.93318182,36.065,14.504375,41.71818182
7/3/2021 13:00,43.09272727,35.23681818,15.78465278,40.26090909
7/3/2021 14:00,45.795,40.30681818,17.06493056,47.23863636
7/3/2021 15:00,42.68391304,35.0573913,18.37430556,40.18826087
7/3/2021 16:00,43.72380952,44.51809524,95.92240741,51.76857143
7/3/2021 17:00,39.73391304,42.28956522,289.5478261,50.59913043
7/3/2021 18:00,36.57545455,42.32090909,347.7413636,50.68181818
7/3/2021 19:00,36.77045455,37.85954545,316.5386364,44.41909091
7/3/2021 20:00,36.42272727,37.225,320.1709091,43.55181818
7/3/2021 21:00,35.95863636,36.56136364,328.6454545,42.63681818
7/3/2021 22:00,34.35956522,46.47521739,448.7682609,56.61391304
7/3/2021 23:00,34.23,58.40272727,480.5809091,69.39636364
7/4/2021 0:00,34.26272727,55.44363636,466.6609091,67.36272727
7/4/2021 1:00,31.885,51.94,415.0527273,63.55227273
7/4/2021 2:00,29.75090909,52.10409091,374.195,64.04909091
7/4/2021 3:00,29.49454545,55.32681818,395.8763636,66.81454545
7/4/2021 4:00,30.03090909,55.23090909,411.5763636,66.72045455
7/4/2021 5:00,30.37727273,54.85181818,387.0740909,66.57318182
7/4/2021 6:00,32.01318182,59.22590909,384.0063636,69.44954545
7/4/2021 7:00,30.475,61.00136364,362.6913636,70.49318182
7/4/2021 8:00,32.68304348,62.09478261,310.0186957,71.14782609
7/4/2021 9:00,34.09363636,49.18954545,237.1518182,59.85181818
7/4/2021 10:00,35.78727273,50.29772727,194.0163636,61.23681818
7/4/2021 11:00,37.58909091,52.15136364,117.1740909,61.15909091
7/4/2021 12:00,38.08909091,47.02181818,20.42737968,55.23681818
7/4/2021 13:00,42.01363636,44.55181818,5.727352941,53.345
7/4/2021 14:00,41.57130435,42.52652174,10.05529412,50.58347826
7/4/2021 15:00,41.36772727,42.22,61.4715508,50.085
7/4/2021 16:00,38.61818182,36.86818182,87.85045455,43.14863636
7/4/2021 17:00,36.27909091,36.48,221.5718182,42.65454545
7/4/2021 18:00,35.02954545,38.74772727,312.7281818,45.85454545
7/4/2021 19:00,36.12391304,36.9026087,255.7469565,42.82347826
7/4/2021 20:00,35.05047619,39.01333333,286.0657143,46.02809524
7/4/2021 21:00,33.54173913,42.24434783,421.3765217,50.3773913
7/4/2021 22:00,34.44954545,43.86409091,420.5463636,52.60272727
7/4/2021 23:00,32.63136364,45.97318182,417.3386364,55.69045455
7/5/2021 0:00,32.37869565,46.90521739,372.97,57.03173913
7/5/2021 1:00,31.03181818,45.58954545,330.0190909,55.20227273
7/5/2021 2:00,29.74363636,49.38636364,362.2409091,60.48
7/5/2021 3:00,29.64590909,49.875,390.8831818,61.32181818
7/5/2021 4:00,29.105,52.45090909,394.3936364,64.22363636
7/5/2021 5:00,30.45,53.31681818,369.095,65.41045455
7/5/2021 6:00,32.13363636,54.235,374.1309091,66.31590909
7/5/2021 7:00,31.85434783,51.86869565,313.9543478,63.8126087
7/5/2021 8:00,34.86333333,55.59619048,250.9366667,67.06952381
7/5/2021 9:00,39.78217391,57.15478261,164.0334783,68.05391304
7/5/2021 10:00,44.94047619,67.46809524,56.38047619,77.92571429
7/5/2021 11:00,48.27434783,53.58478261,30.9373913,65.17869565
7/5/2021 12:00,47.75363636,51.92136364,27.64825758,63.17363636
7/5/2021 13:00,48.97272727,48.51636364,8.335,58.49090909
7/5/2021 14:00,48.00318182,43.56727273,13.44388889,51.92772727
7/5/2021 15:00,48.43272727,42.76545455,18.55277778,50.76818182
7/5/2021 16:00,49.73521739,42.03347826,23.77777778,49.94217391
7/5/2021 17:00,46.80181818,58.67909091,107.329899,68.71454545
7/5/2021 18:00,42.20818182,48.17409091,251.0754545,59.00136364
7/5/2021 19:00,42.42136364,43.25363636,178.395,51.71818182
7/5/2021 20:00,40.81090909,44.87954545,290.5222727,54.20863636
7/5/2021 21:00,38.82454545,49.49772727,466.7772727,60.65409091
7/5/2021 22:00,37.00181818,49.52181818,452.2581818,60.80045455
7/5/2021 23:00,35.89521739,50.26652174,426.2708696,61.38913043
7/6/2021 0:00,34.94954545,51.435,411.3477273,63.07772727
7/6/2021 1:00,36.45954545,50.63181818,391.9545455,61.96
7/6/2021 2:00,36.95272727,53.23545455,389.6086364,65.33636364
7/6/2021 3:00,36.69954545,59.30863636,396.7631818,69.71
7/6/2021 4:00,35.25347826,57.82173913,390.2669565,68.63695652
7/6/2021 5:00,34.955,62.26045455,403.155,71.42318182
7/6/2021 6:00,34.06545455,66.71727273,408.7995455,73.98772727
7/6/2021 7:00,32.04818182,61.63045455,386.5945455,70.92909091
7/6/2021 8:00,33.09545455,53.585,270.6468182,64.75727273
7/6/2021 9:00,35.32590909,50.10590909,268.8386364,61.21318182
7/6/2021 10:00,37.35454545,48.61181818,184.935,59.17045455
7/6/2021 11:00,41.53130435,51.31,111.1643478,61.24913043
7/6/2021 12:00,44.49285714,50.15428571,44.21238095,60.86904762
7/6/2021 13:00,46.69043478,50.68695652,14.45037267,61.86434783
7/6/2021 14:00,48.48772727,50.17136364,6.793896104,61.10863636
7/6/2021 15:00,47.59090909,48.40181818,4.485324675,58.69681818
7/6/2021 16:00,47.40045455,49.49909091,2.176753247,58.93636364
7/6/2021 17:00,45.01772727,67.72863636,178.4793182,76.09909091
7/6/2021 18:00,43.79782609,56.50652174,358.646087,67.92826087
7/6/2021 19:00,41.24363636,56.41090909,428.0931818,67.76363636
7/6/2021 20:00,38.73681818,53.98363636,506.9009091,65.45863636
7/6/2021 21:00,37.99761905,53.04761905,495.3514286,64.44095238
7/6/2021 22:00,36.58909091,63.97318182,471.6654545,72.35772727
7/6/2021 23:00,35.01956522,58.01043478,474.8221739,68.61521739
7/7/2021 0:00,33.20545455,67.23,475.8027273,74.36818182
7/7/2021 1:00,32.53181818,63.28590909,415.0663636,72.06136364
7/7/2021 2:00,32.51090909,63.94318182,391.255,72.37772727
7/7/2021 3:00,32.61363636,63.76681818,374.4131818,72.48090909
7/7/2021 4:00,32.11409091,63.26818182,384.6440909,72.12636364
7/7/2021 5:00,31.89636364,69.20045455,410.5059091,75.68909091
7/7/2021 6:00,31.94782609,65.37869565,401.7986957,73.43391304
7/7/2021 7:00,32.67045455,66.71954545,396.5272727,74.00909091
7/7/2021 8:00,29.63227273,69.88909091,385.8759091,75.98636364
7/7/2021 9:00,31.89454545,61.12954545,281.4436364,70.86636364
7/7/2021 10:00,37.65818182,60.49909091,247.8813636,70.18545455
7/7/2021 11:00,39.56545455,60.96954545,278.7786364,70.04954545
7/7/2021 12:00,39.30478261,53.64434783,185.6791304,64.34608696
7/7/2021 13:00,41.72409091,53.87409091,102.9195455,64.71681818
7/7/2021 14:00,43.77818182,55.32,101.0113636,65.36090909
7/7/2021 15:00,45.35272727,55.52590909,26.28545455,65.92863636
7/7/2021 16:00,45.48409091,59.04545455,52.31954545,69.05227273
7/7/2021 17:00,42.15,50.99173913,320.8321739,62.48
7/7/2021 18:00,39.20681818,51.67045455,448.95,63.48636364
7/7/2021 19:00,39.00318182,49.03681818,350.4845455,59.97409091
7/7/2021 20:00,36.29136364,49.33636364,417.0968182,60.43454545
7/7/2021 21:00,33.40454545,56.16863636,567.35,67.45590909
7/7/2021 22:00,34.52227273,61.32363636,512.0063636,71.02545455
7/7/2021 23:00,33.00772727,56.70590909,474.5813636,67.95090909
7/8/2021 0:00,32.94136364,62.27045455,466.0427273,71.35772727
7/8/2021 1:00,31.42636364,60.96272727,413.7031818,70.32136364
7/8/2021 2:00,30.19863636,60.46090909,401.9009091,70.47454545
7/8/2021 3:00,29.17227273,58.46772727,379.53,68.82545455
7/8/2021 4:00,29.98090909,56.97818182,367.8786364,68.17590909
7/8/2021 5:00,31.10181818,60.81272727,396.2736364,70.63636364
7/8/2021 6:00,30.73772727,62.275,400.0881818,71.35090909
7/8/2021 7:00,30.4273913,63.64130435,385.0708696,72.21956522
7/8/2021 8:00,28.99909091,53.98727273,282.0836364,64.44727273
7/8/2021 9:00,33.67727273,47.69090909,145.6927273,57.98
7/8/2021 10:00,36.72409091,45.75363636,137.2545455,55.19136364
7/8/2021 11:00,36.94227273,73.36727273,108.3713636,79.53136364
7/8/2021 12:00,38.69863636,45.87863636,13.18847107,55.30272727
7/8/2021 13:00,40.58636364,54.86909091,12.88016529,64.50636364
7/8/2021 14:00,39.67782609,46.87956522,70.56695652,56.4026087
7/8/2021 15:00,40.19363636,48.68772727,37.525,57.93454545
7/8/2021 16:00,40.04181818,56.83045455,146.4659091,64.22545455
7/8/2021 17:00,36.13318182,46.48772727,357.2331818,56.65045455
7/8/2021 18:00,33.81136364,47.72590909,451.6059091,58.21863636
7/8/2021 19:00,31.84608696,48.93478261,426.2552174,59.95782609
7/8/2021 20:00,30.73095238,50.90333333,445.2947619,62.61047619
7/8/2021 21:00,30.67772727,50.03545455,440.8777273,61.18681818
7/8/2021 22:00,30.69409091,47.86,395.7063636,57.96545455
7/8/2021 23:00,29.29090909,50.02863636,408.6822727,61.21909091
7/9/2021 0:00,29.96913043,48.99782609,339.7517391,59.38521739
7/9/2021 1:00,26.86181818,42.465,274.8681818,50.52045455
7/9/2021 2:00,24.18636364,43.79136364,267.9263636,52.31454545
7/9/2021 3:00,27.99545455,52.88454545,354.1068182,64.34045455
7/9/2021 4:00,26.81,52.52409091,369.7795455,64.39681818
7/9/2021 5:00,24.98608696,53.71782609,365.5230435,65.42782609
7/9/2021 6:00,22.66863636,47.54954545,286.9518182,57.63090909
7/9/2021 7:00,23.95136364,49.32681818,310.57,60.22272727
7/9/2021 8:00,22.05727273,52.21727273,365.1018182,62.96409091
7/9/2021 9:00,22.36090909,48.92272727,338.5840909,59.77409091
7/9/2021 10:00,23.10590909,44,304.3295455,52.74136364
7/9/2021 11:00,28.05136364,38.39681818,245.9863636,44.93818182
7/9/2021 12:00,28.96173913,39.04826087,219.0921739,45.99347826
7/9/2021 13:00,28.73136364,40.17863636,183.8790909,47.37681818
7/9/2021 14:00,30.63454545,41.11,132.7345455,48.62954545
7/9/2021 15:00,31.74363636,41.97954545,110.3554545,49.91545455
7/9/2021 16:00,32.46,43.47434783,149.376087,51.80347826
7/9/2021 17:00,30.50333333,45.42714286,284.0380952,54.89428571
